Capital,Name,Population
Cairo,Egypt,6789479
Kinshasa,Congo The Democratic Republic of the,5064000
Addis Abeba,Ethiopia,2495000
Nairobi,Kenya,2290000
Alger,Algeria,2168000
Luanda,Angola,2022000
Tripoli,Libyan Arab Jamahiriya,1682000
Harare,Zimbabwe,1410000
Yaoundé,Cameroon,1372800
Lusaka,Zambia,1317000
Conakry,Guinea,1090610
Accra,Ghana,1070000
Maputo,Mozambique,1018938
Mogadishu,Somalia,997000
Brazzaville,Congo,950000
Khartum,Sudan,947483
Kampala,Uganda,890800
Freetown,Sierra Leone,850000
Monrovia,Liberia,850000
Ouagadougou,Burkina Faso,824000
Bamako,Mali,809552
Dakar,Senegal,785071
Tunis,Tunisia,690600
Antananarivo,Madagascar,675669
Nouakchott,Mauritania,667300
Pretoria,South Africa,658630
Rabat,Morocco,623457
N´Djaména,Chad,530965
Bangui,Central African Republic,524000
Lilongwe,Malawi,435964
Asmara,Eritrea,431000
Niamey,Niger,420000
Libreville,Gabon,419000
Djibouti,Djibouti,383000
Lomé,Togo,375000
Abuja,Nigeria,350100
Bujumbura,Burundi,300000
Maseru,Lesotho,297000
Kigali,Rwanda,286000
Bissau,Guinea-Bissau,241000
Gaborone,Botswana,213017
Porto-Novo,Benin,194000
Dodoma,Tanzania,189000
El-Aaiún,Western Sahara,169000
Windhoek,Namibia,169000
Port-Louis,Mauritius,138200
Saint-Denis,Réunion,131480
Yamoussoukro,Côte d’Ivoire,130000
Praia,Cape Verde,94800
Mbabane,Swaziland,61000
São Tomé,Sao Tome and Principe,49541
Banjul,Gambia,42326
Victoria,Seychelles,41000
Malabo,Equatorial Guinea,40000
Moroni,Comoros,36000
Mamoutzou,Mayotte,12000
Jamestown,Saint Helena,1500
