Name,Population,PopulationInCities,PopulationInNonCityAreas
Eastern Asia,1507328000,317476534 (21%),1189851466 (79%)
Southern and Central Asia,1490776000,207688970 (14%),1283087030 (86%)
Southeast Asia,518541000,102067225 (20%),416473775 (80%)
South America,345780000,172037859 (50%),173742141 (50%)
North America,309632000,91321867 (29%),218310133 (71%)
Eastern Europe,307026000,123384516 (40%),183641484 (60%)
Eastern Africa,246999000,24067066 (10%),222931934 (90%)
Western Africa,221672000,33222032 (15%),188449968 (85%)
Middle East,188380700,70371374 (37%),118009326 (63%)
Western Europe,183247600,45683298 (25%),137564302 (75%)
Northern Africa,173266000,43449514 (25%),129816486 (75%)
Southern Europe,144674200,40016658 (28%),104657542 (72%)
Central America,135221000,65860964 (49%),69360036 (51%)
Central Africa,95652000,19061775 (20%),76590225 (80%)
British Islands,63398500,23045714 (36%),40352786 (64%)
Southern Africa,46886000,16038192 (34%),30847808 (66%)
Caribbean,38140000,11067550 (29%),27072450 (71%)
Nordic Countries,24166400,6865487 (28%),17300913 (72%)
Australia and New Zealand,22753100,13163436 (58%),9589664 (42%)
Baltic Countries,7561900,2947140 (39%),4614760 (61%)
Melanesia,6472000,484459 (7%),5987541 (93%)
Polynesia,633050,135925 (21%),497125 (79%)
Micronesia,543000,102329 (19%),440671 (81%)
Micronesia/Caribbean,0,null,null
Antarctica,0,null,null
