Code,Name,Continent,Region,Population,Capital
AUS,Australia,Oceania,Australia and New Zealand,18886000,Canberra
PNG,Papua New Guinea,Oceania,Melanesia,4807000,Port Moresby
NZL,New Zealand,Oceania,Australia and New Zealand,3862000,Wellington
FJI,Fiji Islands,Oceania,Melanesia,817000,Suva
SLB,Solomon Islands,Oceania,Melanesia,444000,Honiara
PYF,French Polynesia,Oceania,Polynesia,235000,Papeete
NCL,New Caledonia,Oceania,Melanesia,214000,Nouméa
VUT,Vanuatu,Oceania,Melanesia,190000,Port-Vila
WSM,Samoa,Oceania,Polynesia,180000,Apia
GUM,Guam,Oceania,Micronesia,168000,Agaña
FSM,Micronesia Federated States of,Oceania,Micronesia,119000,Palikir
TON,Tonga,Oceania,Polynesia,99000,Nuku´alofa
KIR,Kiribati,Oceania,Micronesia,83000,Bairiki
MNP,Northern Mariana Islands,Oceania,Micronesia,78000,Garapan
ASM,American Samoa,Oceania,Polynesia,68000,Fagatogo
MHL,Marshall Islands,Oceania,Micronesia,64000,Dalap-Uliga-Darrit
COK,Cook Islands,Oceania,Polynesia,20000,Avarua
PLW,Palau,Oceania,Micronesia,19000,Koror
WLF,Wallis and Futuna,Oceania,Polynesia,15000,Mata-Utu
NRU,Nauru,Oceania,Micronesia,12000,Yaren
TUV,Tuvalu,Oceania,Polynesia,12000,Funafuti
CXR,Christmas Island,Oceania,Australia and New Zealand,2500,Flying Fish Cove
NIU,Niue,Oceania,Polynesia,2000,Alofi
NFK,Norfolk Island,Oceania,Australia and New Zealand,2000,Kingston
TKL,Tokelau,Oceania,Polynesia,2000,Fakaofo
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,600,West Island
PCN,Pitcairn,Oceania,Polynesia,50,Adamstown
