Code,Name,Continent,Region,Population,Capital
PYF,French Polynesia,Oceania,Polynesia,235000,Papeete
WSM,Samoa,Oceania,Polynesia,180000,Apia
TON,Tonga,Oceania,Polynesia,99000,Nuku´alofa
ASM,American Samoa,Oceania,Polynesia,68000,Fagatogo
COK,Cook Islands,Oceania,Polynesia,20000,Avarua
WLF,Wallis and Futuna,Oceania,Polynesia,15000,Mata-Utu
TUV,Tuvalu,Oceania,Polynesia,12000,Funafuti
NIU,Niue,Oceania,Polynesia,2000,Alofi
TKL,Tokelau,Oceania,Polynesia,2000,Fakaofo
PCN,Pitcairn,Oceania,Polynesia,50,Adamstown
